codigo,descripcion,monto
PROD-00063,Sony Fuente - Modelo 645,3825.74
PROD-00064,Razer SSD - Modelo 302,512.97
PROD-00065,Kingston Teclado - Modelo 439,1535.14
PROD-00066,Kingston Laptop - Modelo 514,1128.17
PROD-00067,Sony Auricular - Modelo 471,4879.4
PROD-00068,Corsair Monitor - Modelo 995,3172.66
PROD-00069,Samsung Gabinete - Modelo 824,2661.62
PROD-00070,HP Monitor - Modelo 558,2748.4
PROD-00071,ASUS Monitor - Modelo 545,479.2
PROD-00072,Corsair Laptop - Modelo 915,2282.52
PROD-00073,ASUS Auricular - Modelo 132,536.85
PROD-00074,Corsair Laptop - Modelo 273,3857.33
PROD-00075,Sony Mouse - Modelo 911,1037.41
PROD-00076,Kingston Monitor - Modelo 972,1823.25
PROD-00077,Logitech Monitor - Modelo 230,4565.61
PROD-00078,Kingston Webcam - Modelo 753,2618.6
PROD-00079,LG Fuente - Modelo 926,4629.15
PROD-00080,Sony RAM - Modelo 744,2313.38
PROD-00081,Samsung Laptop - Modelo 157,4685.79
PROD-00082,HP Laptop - Modelo 960,1824.92
PROD-00083,Sony Fuente - Modelo 957,4447.29
PROD-00084,Razer Fuente - Modelo 874,2093.23
PROD-00085,Dell Teclado - Modelo 380,2002.35
PROD-00086,Kingston RAM - Modelo 671,2242.49
PROD-00087,Dell RAM - Modelo 492,2337.72
PROD-00088,Corsair Auricular - Modelo 876,3900.06
PROD-00089,Logitech RAM - Modelo 845,1779.87
PROD-00090,LG Mouse - Modelo 612,3155.27
PROD-00091,HP Webcam - Modelo 831,1565.22
PROD-00092,Logitech Teclado - Modelo 688,2938.98
PROD-00093,HP Mouse - Modelo 171,2681.91
PROD-00094,Samsung Gabinete - Modelo 686,4180.92
PROD-00095,Logitech SSD - Modelo 942,4716.8
PROD-00096,Dell Mouse - Modelo 609,3343.66
PROD-00097,Kingston SSD - Modelo 945,2127.38
PROD-00098,HP Laptop - Modelo 922,987.57
PROD-00099,HP Monitor - Modelo 811,693.25
PROD-00100,HP Laptop - Modelo 282,2194.35
PROD-00101,Corsair Teclado - Modelo 765,4035.08
PROD-00102,Kingston Auricular - Modelo 232,3733.36
PROD-00103,Dell Mouse - Modelo 443,1217.73
PROD-00104,LG Monitor - Modelo 256,1443.69
PROD-00105,Logitech RAM - Modelo 255,2006.58
PROD-00106,Razer Fuente - Modelo 454,3531.67
PROD-00107,Logitech Monitor - Modelo 583,97.74
PROD-00108,HP Monitor - Modelo 438,961.43
PROD-00109,Logitech Fuente - Modelo 281,2940.09
PROD-00110,Logitech Laptop - Modelo 494,4570.76
PROD-00111,Razer Fuente - Modelo 577,3707.86
PROD-00112,Logitech Teclado - Modelo 939,454.91
PROD-00113,Logitech Laptop - Modelo 409,1126.68
PROD-00114,Razer Gabinete - Modelo 705,2990.97
PROD-00115,Dell Teclado - Modelo 261,2215.25
PROD-00116,Dell Monitor - Modelo 319,499.03
PROD-00117,Samsung Monitor - Modelo 327,1977.64
PROD-00118,Corsair SSD - Modelo 368,3377.2
PROD-00119,Corsair Fuente - Modelo 411,1178.16
PROD-00120,Razer Laptop - Modelo 954,2943.68
PROD-00121,Sony RAM - Modelo 227,1224.16
PROD-00122,Dell Monitor - Modelo 325,207.27
PROD-00123,Corsair Gabinete - Modelo 173,1529.48
PROD-00124,ASUS Mouse - Modelo 122,146.62
PROD-00125,LG RAM - Modelo 761,3957.14
PROD-00126,Kingston RAM - Modelo 202,3872.58
PROD-00127,Samsung Laptop - Modelo 326,2253.83
PROD-00128,HP Auricular - Modelo 151,150.88
PROD-00129,ASUS RAM - Modelo 364,1971.75
PROD-00130,ASUS Gabinete - Modelo 722,4676.38
PROD-00131,Kingston Laptop - Modelo 244,4603.21
PROD-00132,Samsung Teclado - Modelo 645,65.77
PROD-00133,Dell Webcam - Modelo 939,4408.93
PROD-00134,Dell Monitor - Modelo 633,2393.54
PROD-00135,Dell Monitor - Modelo 440,4126.99
PROD-00136,Samsung Monitor - Modelo 124,1370.8
PROD-00137,Samsung Mouse - Modelo 953,1207.41
PROD-00138,Kingston Teclado - Modelo 894,4112.01
PROD-00139,HP Gabinete - Modelo 668,3562.91
PROD-00140,ASUS Laptop - Modelo 660,2690.6
PROD-00141,Dell Teclado - Modelo 505,2802.25
PROD-00142,ASUS Gabinete - Modelo 504,2381.88
PROD-00143,Kingston Auricular - Modelo 724,2016.29
PROD-00144,Dell Monitor - Modelo 762,4184.12
PROD-00145,Sony Gabinete - Modelo 158,4629.62
PROD-00146,Sony Monitor - Modelo 876,4353.89
PROD-00147,LG Auricular - Modelo 623,2091.91
PROD-00148,Logitech Fuente - Modelo 443,4617.59
PROD-00149,HP Auricular - Modelo 521,3799.3
PROD-00150,Razer Fuente - Modelo 885,4535.96
PROD-00151,LG Gabinete - Modelo 202,1203.29
PROD-00152,Dell RAM - Modelo 377,3276.35
PROD-00153,Razer Fuente - Modelo 468,2821.7
PROD-00154,Samsung RAM - Modelo 435,1671.56
PROD-00155,Sony Auricular - Modelo 168,2373.68
PROD-00156,Razer Monitor - Modelo 532,233.25
PROD-00157,HP Auricular - Modelo 932,2013.1
PROD-00158,LG RAM - Modelo 807,887.57
PROD-00159,Kingston SSD - Modelo 328,433.75
PROD-00160,Corsair Fuente - Modelo 678,1883.77
PROD-00161,ASUS SSD - Modelo 599,1650.86
PROD-00162,Samsung Monitor - Modelo 104,2781.73
PROD-00163,HP RAM - Modelo 228,1054.02
PROD-00164,HP Teclado - Modelo 326,1397.76
PROD-00165,Sony Monitor - Modelo 763,2188.46
PROD-00166,Samsung Laptop - Modelo 379,1711.64
PROD-00167,Kingston SSD - Modelo 104,2215.0
PROD-00168,Samsung Mouse - Modelo 421,4509.03
PROD-00169,HP Gabinete - Modelo 667,4099.19
PROD-00170,Razer Fuente - Modelo 734,1355.31
PROD-00171,Razer Gabinete - Modelo 894,461.53
PROD-00172,Razer Mouse - Modelo 540,4515.35
PROD-00173,Kingston RAM - Modelo 745,3252.38
PROD-00174,Razer Fuente - Modelo 150,2410.78
PROD-00175,ASUS RAM - Modelo 407,898.04
PROD-00176,LG Teclado - Modelo 169,819.1
PROD-00177,HP Webcam - Modelo 993,580.87
PROD-00178,Samsung Mouse - Modelo 282,4533.03
PROD-00179,Sony Fuente - Modelo 666,612.53
PROD-00180,HP Webcam - Modelo 338,1215.18
PROD-00181,ASUS Gabinete - Modelo 319,2812.16
PROD-00182,LG Laptop - Modelo 163,818.8
PROD-00183,Dell Laptop - Modelo 720,3296.82
PROD-00184,LG RAM - Modelo 162,961.9
PROD-00185,ASUS Auricular - Modelo 176,2908.7
PROD-00186,HP Fuente - Modelo 747,3984.14
PROD-00187,LG Fuente - Modelo 398,4984.08
PROD-00188,Sony Fuente - Modelo 153,2537.99
PROD-00189,ASUS Laptop - Modelo 670,2490.76
PROD-00190,Sony SSD - Modelo 800,2336.75
PROD-00191,Dell Fuente - Modelo 472,1514.81
PROD-00192,Dell Gabinete - Modelo 519,4806.94
PROD-00193,Sony Auricular - Modelo 988,1338.72
PROD-00194,Dell Auricular - Modelo 377,429.4
PROD-00195,Sony Auricular - Modelo 256,1056.25
PROD-00196,Razer Teclado - Modelo 710,4617.44
PROD-00197,Samsung Laptop - Modelo 720,2317.54
PROD-00198,Corsair SSD - Modelo 836,2695.07
PROD-00199,ASUS Fuente - Modelo 680,2385.39
PROD-00200,Samsung RAM - Modelo 277,2318.57
PROD-00201,Samsung Webcam - Modelo 546,2909.04
PROD-00202,Logitech Webcam - Modelo 806,1412.58
PROD-00203,Dell Webcam - Modelo 130,1338.52
PROD-00204,Razer Auricular - Modelo 258,1768.37
PROD-00205,Logitech Gabinete - Modelo 669,761.11
PROD-00206,LG Monitor - Modelo 504,2668.49
PROD-00207,Sony Webcam - Modelo 257,4403.87
PROD-00208,ASUS Mouse - Modelo 352,681.8
PROD-00209,Kingston RAM - Modelo 731,1138.28
PROD-00210,Samsung Fuente - Modelo 506,196.28
PROD-00211,ASUS Teclado - Modelo 896,2150.27
PROD-00212,Kingston Gabinete - Modelo 710,931.94
PROD-00213,Dell SSD - Modelo 547,3972.35
PROD-00214,Kingston SSD - Modelo 125,1228.28
PROD-00215,Samsung Gabinete - Modelo 400,4015.14
PROD-00216,ASUS RAM - Modelo 992,3342.41
PROD-00217,Corsair Gabinete - Modelo 376,2646.01
PROD-00218,Samsung Fuente - Modelo 389,3035.92
PROD-00219,Corsair Teclado - Modelo 947,1040.66
PROD-00220,HP Auricular - Modelo 419,2007.42
PROD-00221,LG Auricular - Modelo 218,4867.97
PROD-00222,Kingston Auricular - Modelo 621,113.34
PROD-00223,Sony Gabinete - Modelo 581,3789.98
PROD-00224,Logitech SSD - Modelo 781,582.57
PROD-00225,Kingston RAM - Modelo 679,3974.92
PROD-00226,Sony Mouse - Modelo 588,2971.97
PROD-00227,Corsair Fuente - Modelo 827,2285.89
PROD-00228,ASUS Mouse - Modelo 996,4519.79
PROD-00229,LG Webcam - Modelo 296,3643.65
PROD-00230,HP Webcam - Modelo 566,1339.56
PROD-00231,Corsair Mouse - Modelo 209,4952.52
PROD-00232,LG Gabinete - Modelo 672,3812.11
PROD-00233,Corsair Monitor - Modelo 365,2638.21
PROD-00234,HP Laptop - Modelo 568,2559.4
PROD-00235,Samsung Monitor - Modelo 440,3337.28
PROD-00236,Corsair Laptop - Modelo 330,1584.14
PROD-00237,ASUS Auricular - Modelo 112,4524.82
PROD-00238,Dell Gabinete - Modelo 754,2635.51
PROD-00239,Sony Gabinete - Modelo 812,692.95
PROD-00240,HP Mouse - Modelo 579,1471.02
PROD-00241,HP Gabinete - Modelo 479,805.95
PROD-00242,Logitech Teclado - Modelo 325,2698.5
PROD-00243,Sony Webcam - Modelo 301,3918.64
PROD-00244,Logitech Mouse - Modelo 798,4854.88
PROD-00245,HP SSD - Modelo 308,3586.89
PROD-00246,Dell Fuente - Modelo 920,3447.83
PROD-00247,HP Monitor - Modelo 133,1251.63
PROD-00248,Kingston Mouse - Modelo 349,3222.47
PROD-00249,Logitech Auricular - Modelo 840,3721.68
PROD-00250,HP Webcam - Modelo 138,4737.35
PROD-00251,HP Fuente - Modelo 425,2635.98
PROD-00252,Kingston Monitor - Modelo 804,4590.06
PROD-00253,HP Webcam - Modelo 470,162.05
PROD-00254,Logitech Auricular - Modelo 937,3640.57
PROD-00255,Logitech SSD - Modelo 399,3113.59
PROD-00256,Dell Fuente - Modelo 889,2681.13
PROD-00257,Logitech Mouse - Modelo 632,2361.7
PROD-00258,ASUS Mouse - Modelo 864,1896.04
PROD-00259,Sony Auricular - Modelo 183,1876.15
PROD-00260,Samsung RAM - Modelo 151,4083.89
PROD-00261,Logitech Monitor - Modelo 799,247.63
PROD-00262,Dell Webcam - Modelo 131,4978.58
PROD-00263,Samsung Mouse - Modelo 416,1520.93
PROD-00264,Logitech Monitor - Modelo 365,4409.12
PROD-00265,Kingston Fuente - Modelo 830,4967.72
PROD-00266,Samsung SSD - Modelo 201,3710.49
PROD-00267,Razer Teclado - Modelo 627,3501.55
PROD-00268,Razer SSD - Modelo 560,3159.52
PROD-00269,Samsung Gabinete - Modelo 498,4006.31
PROD-00270,Sony SSD - Modelo 860,4929.96
PROD-00271,LG Monitor - Modelo 683,2450.21
PROD-00272,Corsair Teclado - Modelo 571,3126.18
PROD-00273,Razer Auricular - Modelo 770,2475.19
PROD-00274,Logitech Gabinete - Modelo 612,4099.56
PROD-00275,LG Mouse - Modelo 871,992.77
PROD-00276,Logitech RAM - Modelo 885,3670.78
PROD-00277,Razer Fuente - Modelo 541,1902.24
PROD-00278,Dell SSD - Modelo 516,2188.39
PROD-00279,ASUS Mouse - Modelo 579,3662.0
PROD-00280,ASUS Mouse - Modelo 519,2308.93
PROD-00281,Samsung Fuente - Modelo 546,2482.46
PROD-00282,ASUS Laptop - Modelo 240,545.26
PROD-00283,Razer Gabinete - Modelo 527,2298.64
PROD-00284,Sony SSD - Modelo 126,3984.68
PROD-00285,ASUS RAM - Modelo 353,4420.8
PROD-00286,Corsair SSD - Modelo 945,2456.47
PROD-00287,Dell Mouse - Modelo 502,4921.4
PROD-00288,HP Mouse - Modelo 195,1240.72
PROD-00289,Logitech Gabinete - Modelo 839,3708.55
PROD-00290,Samsung Fuente - Modelo 584,2125.06
PROD-00291,Razer Fuente - Modelo 150,1735.91
PROD-00292,Corsair Laptop - Modelo 962,3630.34
PROD-00293,LG Gabinete - Modelo 703,1136.71
PROD-00294,Razer Fuente - Modelo 451,2915.16
PROD-00295,Razer Mouse - Modelo 444,1141.6
PROD-00296,HP Auricular - Modelo 230,1899.29
PROD-00297,HP SSD - Modelo 573,4188.41
PROD-00298,HP Fuente - Modelo 848,872.89
PROD-00299,Logitech Webcam - Modelo 279,599.03
PROD-00300,Corsair Teclado - Modelo 664,1344.92
PROD-00301,ASUS Auricular - Modelo 355,2652.66
PROD-00302,Dell SSD - Modelo 491,3470.04
PROD-00303,Logitech Laptop - Modelo 623,4381.16
PROD-00304,Kingston Laptop - Modelo 817,2522.46
PROD-00305,HP Monitor - Modelo 284,1576.56
PROD-00306,Kingston RAM - Modelo 640,3963.65
PROD-00307,Kingston Teclado - Modelo 115,4987.31
PROD-00308,ASUS RAM - Modelo 730,1696.91
PROD-00309,HP Monitor - Modelo 102,1937.46
PROD-00310,Sony Webcam - Modelo 562,2985.16
PROD-00311,Razer Auricular - Modelo 716,1710.48
PROD-00312,Logitech Webcam - Modelo 378,1719.72
PROD-00313,HP Fuente - Modelo 823,3002.25
PROD-00314,LG SSD - Modelo 925,3053.36
PROD-00315,Logitech Laptop - Modelo 689,3805.32
PROD-00316,HP Gabinete - Modelo 569,1234.58
PROD-00317,Logitech Monitor - Modelo 789,1372.16
PROD-00318,Dell Teclado - Modelo 226,2243.74
PROD-00319,Sony Gabinete - Modelo 669,4593.81
PROD-00320,ASUS SSD - Modelo 435,4772.92
PROD-00321,Sony Gabinete - Modelo 655,2309.06
PROD-00322,Samsung Webcam - Modelo 468,3609.46
PROD-00323,ASUS RAM - Modelo 891,712.61
PROD-00324,LG Fuente - Modelo 459,3514.76
PROD-00325,Samsung Fuente - Modelo 469,494.66
PROD-00326,Sony Webcam - Modelo 810,3987.56
PROD-00327,Samsung SSD - Modelo 222,4794.87
PROD-00328,Razer Gabinete - Modelo 731,442.66
PROD-00329,Kingston Webcam - Modelo 117,2401.37
PROD-00330,ASUS Fuente - Modelo 225,4341.22
PROD-00331,Kingston Teclado - Modelo 163,4003.12
PROD-00332,ASUS Teclado - Modelo 792,1142.35
PROD-00333,Corsair RAM - Modelo 374,2674.1
PROD-00334,HP Teclado - Modelo 325,1219.26
PROD-00335,Razer Monitor - Modelo 234,1290.11
PROD-00336,Sony Fuente - Modelo 194,939.37
PROD-00337,Dell Fuente - Modelo 776,2572.04
PROD-00338,Razer RAM - Modelo 166,3129.13
PROD-00339,Dell Auricular - Modelo 120,1327.37
PROD-00340,ASUS RAM - Modelo 728,2558.39
PROD-00341,Razer RAM - Modelo 994,1040.14
PROD-00342,LG Webcam - Modelo 169,4316.11
PROD-00343,LG Webcam - Modelo 803,4098.59
PROD-00344,HP Fuente - Modelo 426,417.35
PROD-00345,Logitech Monitor - Modelo 992,3816.06
PROD-00346,LG Auricular - Modelo 260,1682.04
PROD-00347,Samsung Mouse - Modelo 482,432.18
PROD-00348,ASUS Gabinete - Modelo 652,4308.38
PROD-00349,Samsung Auricular - Modelo 206,2349.67
PROD-00350,Corsair Gabinete - Modelo 610,190.58
PROD-00351,Sony Monitor - Modelo 902,1762.07
PROD-00352,Razer Gabinete - Modelo 616,2924.35
PROD-00353,LG Teclado - Modelo 763,2147.48
PROD-00354,Samsung Mouse - Modelo 353,2643.41
PROD-00355,Kingston Laptop - Modelo 915,4314.76
PROD-00356,Logitech SSD - Modelo 769,2248.9
PROD-00357,Kingston Teclado - Modelo 604,2230.27
PROD-00358,HP RAM - Modelo 715,3676.25
PROD-00359,Corsair Laptop - Modelo 778,4531.41
PROD-00360,LG Auricular - Modelo 365,3105.41
PROD-00361,Samsung Webcam - Modelo 721,3790.79
PROD-00362,Corsair Webcam - Modelo 824,3190.14
PROD-00363,LG Auricular - Modelo 973,1030.62
PROD-00364,Razer Gabinete - Modelo 643,668.56
PROD-00365,Logitech SSD - Modelo 736,887.48
PROD-00366,Corsair Mouse - Modelo 164,42.36
PROD-00367,Samsung Monitor - Modelo 574,4750.72
PROD-00368,Samsung RAM - Modelo 434,3397.96
PROD-00369,Samsung Fuente - Modelo 857,3823.68
PROD-00370,Samsung Gabinete - Modelo 214,2544.42
PROD-00371,ASUS Webcam - Modelo 331,456.64
PROD-00372,Kingston Teclado - Modelo 673,1921.37
PROD-00373,Samsung Monitor - Modelo 457,3455.33
PROD-00374,Logitech Webcam - Modelo 104,2270.46
PROD-00375,Sony Gabinete - Modelo 384,3710.05
PROD-00376,Samsung Webcam - Modelo 560,3462.28
PROD-00377,Corsair Teclado - Modelo 734,1003.33
PROD-00378,Samsung Mouse - Modelo 661,1597.38
PROD-00379,Razer Laptop - Modelo 278,26.31
PROD-00380,LG Mouse - Modelo 126,622.99
PROD-00381,Logitech Monitor - Modelo 411,3945.44
PROD-00382,Razer Laptop - Modelo 214,2707.38
PROD-00383,Samsung Fuente - Modelo 354,4260.25
PROD-00384,Logitech Laptop - Modelo 873,2917.58
PROD-00385,Logitech Gabinete - Modelo 697,2387.14
PROD-00386,Sony Laptop - Modelo 486,918.0
PROD-00387,ASUS Fuente - Modelo 263,103.14
PROD-00388,Kingston RAM - Modelo 646,3460.57
PROD-00389,HP Webcam - Modelo 550,1563.58
PROD-00390,ASUS Gabinete - Modelo 873,2392.5
PROD-00391,Dell SSD - Modelo 636,1469.98
PROD-00392,Razer RAM - Modelo 873,2149.38
PROD-00393,Logitech RAM - Modelo 890,3452.81
PROD-00394,Dell Gabinete - Modelo 380,268.02
PROD-00395,Sony RAM - Modelo 793,3252.67
PROD-00396,Logitech SSD - Modelo 721,4658.91
PROD-00397,Razer Teclado - Modelo 219,443.67
PROD-00398,Razer Monitor - Modelo 380,2888.02
PROD-00399,HP Mouse - Modelo 695,3967.05
PROD-00400,Razer Webcam - Modelo 500,4474.02
PROD-00401,LG Laptop - Modelo 744,2295.54
PROD-00402,Sony Laptop - Modelo 739,4715.61
PROD-00403,ASUS RAM - Modelo 271,1393.27
PROD-00404,Samsung SSD - Modelo 750,3226.12
PROD-00405,Dell Monitor - Modelo 902,1728.71
PROD-00406,Razer SSD - Modelo 476,331.75
PROD-00407,Sony Fuente - Modelo 143,2833.7
PROD-00408,Razer Webcam - Modelo 351,4854.72
PROD-00409,LG SSD - Modelo 765,2499.69
PROD-00410,Logitech Monitor - Modelo 257,3441.99
PROD-00411,Kingston Gabinete - Modelo 566,2358.22
PROD-00412,LG Monitor - Modelo 802,395.33
PROD-00413,Razer RAM - Modelo 352,1736.01
PROD-00414,Sony RAM - Modelo 766,1540.77
PROD-00415,HP Webcam - Modelo 874,199.78
PROD-00416,LG Webcam - Modelo 423,1351.35
PROD-00417,Corsair Monitor - Modelo 240,2370.56
PROD-00418,Razer Auricular - Modelo 739,520.02
PROD-00419,LG Monitor - Modelo 423,2017.52
PROD-00420,LG RAM - Modelo 383,2113.13
PROD-00421,Sony RAM - Modelo 490,3823.91
PROD-00422,Razer Gabinete - Modelo 611,4525.11
PROD-00423,Razer Webcam - Modelo 520,4051.98
PROD-00424,Corsair RAM - Modelo 106,2058.61
PROD-00425,Corsair Fuente - Modelo 720,3962.09
PROD-00426,Razer Webcam - Modelo 731,549.29
PROD-00427,Razer Webcam - Modelo 409,3581.43
PROD-00428,ASUS RAM - Modelo 211,1510.04
PROD-00429,HP Mouse - Modelo 308,495.39
PROD-00430,Kingston RAM - Modelo 560,144.35
PROD-00431,Dell Mouse - Modelo 212,3911.81
PROD-00432,ASUS Mouse - Modelo 797,3637.76
PROD-00433,Dell Gabinete - Modelo 373,3400.7
PROD-00434,LG Auricular - Modelo 927,4756.59
PROD-00435,HP Auricular - Modelo 836,3216.42
PROD-00436,Corsair RAM - Modelo 744,168.13
PROD-00437,Razer Monitor - Modelo 696,295.44
PROD-00438,HP Mouse - Modelo 202,882.71
PROD-00439,Samsung RAM - Modelo 731,3026.91
PROD-00440,Dell Auricular - Modelo 903,2133.99
PROD-00441,Logitech Webcam - Modelo 670,243.83
PROD-00442,Kingston Auricular - Modelo 422,364.72
PROD-00443,LG Monitor - Modelo 304,314.59
PROD-00444,Razer Fuente - Modelo 825,2858.33
PROD-00445,LG Webcam - Modelo 214,88.16
PROD-00446,Razer Gabinete - Modelo 777,114.86
PROD-00447,LG Gabinete - Modelo 964,4594.53
PROD-00448,Sony Gabinete - Modelo 854,1084.16
PROD-00449,Corsair Webcam - Modelo 583,4357.77
PROD-00450,Kingston Laptop - Modelo 389,4386.8
PROD-00451,LG Auricular - Modelo 234,3879.7
PROD-00452,Samsung SSD - Modelo 826,3292.28
PROD-00453,Dell Monitor - Modelo 687,1281.58
PROD-00454,ASUS Auricular - Modelo 285,2952.02
PROD-00455,Samsung Fuente - Modelo 956,4766.71
PROD-00456,Corsair Teclado - Modelo 303,1804.99
PROD-00457,Dell Webcam - Modelo 343,3110.44
PROD-00458,Samsung Fuente - Modelo 890,2555.29
PROD-00459,LG Gabinete - Modelo 658,4566.23
PROD-00460,LG Monitor - Modelo 352,3419.58
PROD-00461,Dell Webcam - Modelo 145,2350.79
PROD-00462,Kingston Gabinete - Modelo 182,3453.52
PROD-00463,Sony Fuente - Modelo 991,3166.61
PROD-00464,ASUS Mouse - Modelo 740,2382.55
PROD-00465,Samsung Monitor - Modelo 894,1306.72
PROD-00466,LG Mouse - Modelo 582,4014.08
PROD-00467,Sony Gabinete - Modelo 499,3384.58
PROD-00468,Kingston Teclado - Modelo 317,466.35
PROD-00469,LG Gabinete - Modelo 174,4078.97
PROD-00470,Sony Laptop - Modelo 422,3597.2
PROD-00471,Logitech Mouse - Modelo 338,4339.55
PROD-00472,Corsair Fuente - Modelo 697,3710.07
PROD-00473,Samsung Teclado - Modelo 235,4037.84
PROD-00474,Sony Gabinete - Modelo 532,4441.83
PROD-00475,Logitech Monitor - Modelo 312,2226.22
PROD-00476,LG Auricular - Modelo 674,2504.8
PROD-00477,Logitech Mouse - Modelo 796,4459.3
PROD-00478,Dell Webcam - Modelo 712,3703.76
PROD-00479,Sony Gabinete - Modelo 374,207.8
PROD-00480,Samsung Monitor - Modelo 571,3969.9
PROD-00481,LG Webcam - Modelo 981,3013.37
PROD-00482,Razer Monitor - Modelo 292,499.09
PROD-00483,Logitech Fuente - Modelo 423,1108.78
PROD-00484,Corsair Gabinete - Modelo 391,951.14
PROD-00485,Samsung Monitor - Modelo 304,1057.85
PROD-00486,Sony Laptop - Modelo 217,2665.75
PROD-00487,ASUS Auricular - Modelo 943,2634.34
PROD-00488,LG Fuente - Modelo 820,663.26
PROD-00489,Samsung Auricular - Modelo 823,1419.0
PROD-00490,HP Laptop - Modelo 451,2215.4
PROD-00491,Logitech Teclado - Modelo 741,1856.85
PROD-00492,Sony SSD - Modelo 987,3679.23
PROD-00493,Kingston Auricular - Modelo 219,3783.42
PROD-00494,Sony Mouse - Modelo 192,3955.78
PROD-00495,Razer Auricular - Modelo 585,4187.14
PROD-00496,Corsair Fuente - Modelo 874,4116.96
PROD-00497,Razer Mouse - Modelo 149,3654.3
PROD-00498,Corsair RAM - Modelo 264,2296.74
PROD-00499,Kingston Gabinete - Modelo 130,4614.66
PROD-00500,Razer Mouse - Modelo 863,1006.71
PROD-00501,Kingston SSD - Modelo 977,3704.2
PROD-00502,Kingston Laptop - Modelo 736,3257.32
PROD-00503,Sony Teclado - Modelo 114,320.45
PROD-00504,Kingston Teclado - Modelo 662,1496.41
PROD-00505,ASUS Mouse - Modelo 636,56.23
PROD-00506,Logitech Fuente - Modelo 559,3990.54
PROD-00507,Dell Gabinete - Modelo 955,3364.58
PROD-00508,ASUS SSD - Modelo 627,779.07
PROD-00509,Sony Teclado - Modelo 726,2039.07
PROD-00510,Razer Webcam - Modelo 131,236.79
PROD-00511,Logitech Monitor - Modelo 206,4335.16
PROD-00512,Logitech Gabinete - Modelo 674,3886.63
PROD-00513,Corsair Gabinete - Modelo 212,1108.81
PROD-00514,ASUS Monitor - Modelo 485,1099.01
PROD-00515,Kingston Teclado - Modelo 250,2564.05
PROD-00516,ASUS Webcam - Modelo 920,871.41
